From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg)
01-01-2010,23.73781109,49.37578091,7.566235119,20.68678075,21.15073413,19.52975694,2.197916667,0.0175,15.76916667,29.32416667,83.1375,0.58875,200.055,179.7745833,1007.509583
02-01-2010,22.71843975,57.23453736,4.537430556,15.63736111,13.7359375,15.59190972,1.997083333,0.035833333,23.22541667,29.58666667,80.54708333,0.595833333,174.5070833,159.775,1008.797917
03-01-2010,32.8769532,44.4081718,6.420034722,8.225987319,11.67104167,12.96453351,3.10375,0.01375,33.81625,29.30958333,75.33541667,0.5925,138.0120833,115.57875,1008.877917
04-01-2010,21.5157435,48.18891689,7.330039251,26.50243056,22.79301781,14.78376359,2.890416667,0.094166667,14.51916667,28.20625,79.66833333,0.575,226.1233333,151.3870833,1007.42375
05-01-2010,26.44293855,60.7503488,8.428563131,17.57000947,20.47645518,16.84829861,2.686666667,0.487083333,11.15375,27.65916667,84.90083333,0.56625,261.56,62.69291667,1006.342917
06-01-2010,34.37541029,48.47324618,6.61765873,23.73664187,24.31847718,16.70035256,2.17875,0.01,18.8525,29.02416667,80.22208333,0.600833333,207.6654167,185.6745833,1006.030833
07-01-2010,42.77185537,68.55100694,7.863863264,11.30727526,11.87626873,7.837673611,1.81375,0.01,38.97916667,29.9025,75.03958333,0.628333333,134.4566667,175.88625,1006.777917
08-01-2010,28.86898021,49.37251894,7.18738952,11.19493056,17.32052083,14.46778472,2.411666667,0.01,24.40541667,28.44333333,88.61125,0.625833333,225.85875,32.54791667,1007.113333
09-01-2010,30.25029966,53.65713699,7.631145833,22.92420139,21.82489583,15.78555556,2.053333333,0.01,16.8675,28.88625,88.95916667,0.627916667,234.5554167,91.8625,1006.80375
10-01-2010,26.64564757,50.21762914,6.601956522,15.8402038,21.61997585,18.38168025,2.3325,0.01,10.62541667,29.53375,86.1725,0.602916667,198.7845833,165.4808333,1007.878333
11-01-2010,17.74774306,32.47419967,8.844826389,19.4596875,29.65520833,28.02722222,2.189166667,0.039166667,3.1925,30.16666667,87.71833333,0.575833333,157.9054167,217.23625,1008.853333
12-01-2010,19.14305556,52.06208359,10.85434028,28.67743056,41.07013889,24.41753472,1.65875,0.01,4.0675,30.27375,86.7225,0.572916667,175.97125,224.83625,1009.271667
13-01-2010,19.81440972,52.35327705,8.706493056,25.49795139,43.85072917,23.91590278,1.855833333,0.01,5.749166667,30.62333333,84.49625,0.58875,178.7604167,221.0533333,1009.704167
14-01-2010,20.98920139,33.84806846,10.6353125,23.62704861,38.10708333,28.01079861,2.089166667,0.01,9.740833333,30.31791667,84.33375,0.575833333,163.8854167,208.4325,1010.648333
15-01-2010,26.08906328,70.09639493,5.751180556,8.690659722,12.62608735,8.959791667,2.83,0.01,32.79333333,29.67666667,76.93916667,0.592916667,119.8454167,141.7275,1011.814583
16-01-2010,29.30816952,31.35772727,6.516284722,14.15677083,29.10836806,27.36138889,3.88375,0.01,20.70291667,29.41,76.67916667,0.604583333,159.1658333,214.39625,1012.900417
17-01-2010,30.27214231,44.68624369,8.0821875,16.97458333,22.02415774,22.82414457,3.857826087,0.01,15.20208333,29.18208333,81.94708333,0.581666667,187.5316667,185.77625,1012.653333
18-01-2010,34.18920256,52.01526007,8.775868056,25.73027778,29.42024306,17.77597756,3.555,0.03125,16.99458333,29.43208333,83.58125,0.572916667,205.3316667,182.7979167,1011.6275
19-01-2010,39.12603253,40.87660861,4.9434375,10.08635417,11.33895833,22.55645833,2.921666667,0.01,25.63958333,29.26208333,80.30041667,0.584166667,167.7470833,188.23625,1009.785417
20-01-2010,24.12289628,41.53910459,7.5109375,22.1225,29.95003472,26.21701389,2.30375,0.01,21.46083333,28.82958333,76.19125,0.586666667,182.02875,207.0908333,1010.63375
21-01-2010,28.21164929,52.29925505,5.351076389,14.73329861,28.69041667,20.36818497,3.2675,0.0325,24.3175,28.43666667,67.72208333,0.6025,191.3475,210.6041667,1010.1225
22-01-2010,28.49415382,45.36387613,5.761284722,24.38059028,21.34579861,19.03967415,3.5575,0.01,14.2075,28.20916667,69.47791667,0.602083333,236.6279167,161.5275,1009.696667
23-01-2010,29.09102882,45.61769255,4.412118056,19.35295139,16.8503125,17.12974359,3.098333333,0.01,21.52291667,28.36541667,72.08708333,0.605416667,227.1183333,164.31625,1009.51375
24-01-2010,26.57077822,50.90419508,10.87875,22.22482639,31.73545635,21.14080177,3.17875,0.045,21.32875,28.71916667,77.085,0.594166667,198.6991667,198.4016667,1008.602917
25-01-2010,36.91574652,32.11922033,5.018020833,8.715034722,18.08184028,27.37402778,3.582916667,0.01,23.52416667,29.02541667,75.50583333,0.596666667,152.3358333,206.63125,1008.775
26-01-2010,27.98699213,30.07047033,5.735,13.62356692,31.25788194,27.43305556,1.13125,0.01,19.95333333,29.5175,77.45125,0.604166667,162.4254167,219.62,1009.457083
27-01-2010,33.40909948,46.18050505,9.028639795,17.92184481,20.69866848,12.91194444,1.9,0.01,15.345,29.25458333,85.05708333,0.594583333,148.4858333,126.54125,1009.487917
28-01-2010,45.50286649,49.19613005,9.399674078,21.86076535,30.62319444,20.07256944,2.224583333,0.01,20.93875,29.33375,81.06041667,0.58625,158.7458333,174.38125,1009.922917
29-01-2010,38.14890269,36.25556695,4.420289208,8.481049431,14.77971165,25.01961806,1.582173913,0.157916667,30.11958333,29.07875,79.39625,0.582916667,169.3258333,204.4854167,1009.973333
30-01-2010,25.42537734,47.48803977,9.713159722,21.52743056,33.704375,20.74731692,3.538333333,0.01,29.54125,28.745,79.44375,0.587083333,202.5616667,206.62625,1009.853333
