From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (ug/m3),THC (ug/m3)
2010-01-01,,,1.2829166666666667,,,,,,,,,,,,,,,,,,,,
2010-01-02,,,2.4070833333333335,,,,,,,,,,,,,,,,,,,,
2010-01-03,,,2.271666666666667,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,1.2216666666666667,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,1.6895833333333332,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,1.4170833333333333,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,2.3725,,,,,,,,,,,,,,,,,,,,
2010-01-08,,,1.2591666666666665,,,,,,,,,,,,,,,,,,,,
2010-01-09,,,0.9616666666666666,,,,,,,,,,,,,,,,,,,,
2010-01-10,,,1.7125000000000001,,,,,,,,,,,,,,,,,,,,
2010-01-11,,,3.7745833333333336,,,,,,,,,,,,,,,,,,,,
2010-01-12,,,3.3954166666666663,,,,,,,,,,,,,,,,,,,,
2010-01-13,,,5.239166666666667,,,,,,,,,,,,,,,,,,,,
2010-01-14,,,2.9604166666666667,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,2.2275,,,,,,,,,,,,,,,,,,,,
2010-01-16,,,1.1070833333333334,,,,,,,,,,,,,,,,,,,,
2010-01-17,,,1.1795833333333332,,,,,,,,,,,,,,,,,,,,
2010-01-18,,,7.2700000000000005,,,,,,,,,,,,,,,,,,,,
2010-01-19,,,1.7245833333333334,,,,,,,,,,,,,,,,,,,,
2010-01-20,,,1.5574999999999999,,,,,,,,,,,,,,,,,,,,
2010-01-21,,,1.8666666666666665,,,,,,,,,,,,,,,,,,,,
2010-01-22,,,1.7,,,,,,,,,,,,,,,,,,,,
2010-01-23,,,1.89,,,,,,,,,,,,,,,,,,,,
2010-01-24,,,1.7245833333333334,,,,,,,,,,,,,,,,,,,,
2010-01-25,,,1.9879166666666668,,,,,,,,,,,,,,,,,,,,
2010-01-26,,,2.3720833333333333,,,,,,,,,,,,,,,,,,,,
2010-01-27,,,1.9583333333333333,,,,,,,,,,,,,,,,,,,,
2010-01-28,,,1.7854166666666667,,,,,,,,,,,,,,,,,,,,
2010-01-29,,,1.89125,,,,,,,,,,,,,,,,,,,,
2010-01-30,,,2.095,,,,,,,,,,,,,,,,,,,,
2010-01-31,,,2.56625,58.39666666666667,,,,,,,,,,,,,,,,,,,
2010-02-01,,,35.77125,103.70875000000001,,,,,,,,,,,,,,,,,,,
2010-02-02,,,21.039166666666667,63.22208333333333,,,,,,,,,,,,,,,,,,,
2010-02-03,,,18.9725,55.71625,,,,,,,,,,,,,,,,,,,
2010-02-04,,,44.33541666666667,88.47875,,,,,,,,,,,,,,,,,,,
2010-02-05,,,15.019999999999998,48.895833333333336,,,,,,,,,,,,,,,,,,,
2010-02-06,,,18.794166666666666,45.629583333333336,,,,,,,,,,,,,,,,,,,
2010-02-07,,,18.186666666666667,44.09,,,,,,,,,,,,,,,,,,,
2010-02-08,,,15.665833333333333,50.21666666666667,,,,,,,,,,,,,,,,,,,
2010-02-09,,,17.345000000000002,48.206250000000004,,,,,,,,,,,,,,,,,,,
2010-02-10,,,17.419166666666666,43.65416666666667,,,,,,,,,,,,,,,,,,,
2010-02-11,,,9.697916666666666,32.94541666666667,,,,,,,,,,,,,,,,,,,
2010-02-12,,,17.249583333333334,41.147083333333335,,,,,,,,,,,,,,,,,,,
2010-02-13,,,5.5,23.99625,,,,,,,,,,,,,,,,,,,
2010-02-14,,,16.718333333333334,35.299166666666665,,,,,,,,,,,,,,,,,,,
2010-02-15,,,10.02625,34.314166666666665,,,,,,,,,,,,,,,,,,,
2010-02-16,,,19.478333333333335,35.704166666666666,,,,,,,,,,,,,,,,,,,
2010-02-17,,,11.902916666666668,33.05458333333333,,,,,,,,,,,,,,,,,,,
2010-02-18,,,10.196250000000001,37.72625,,,,,,,,,,,,,,,,,,,
2010-02-19,,,7.625,33.10208333333333,,,,,,,,,,,,,,,,,,,
2010-02-20,,,11.36,36.74791666666667,,,,,,,,,,,,,,,,,,,
2010-02-21,,,8.659583333333334,30.140416666666667,,,,,,,,,,,,,,,,,,,
2010-02-22,,,10.459999999999999,27.132500000000004,,,,,,,,,,,,,,,,,,,
2010-02-23,,,8.684583333333334,37.47416666666667,,,,,,,,,,,,,,,,,,,
2010-02-24,,,6.879090909090909,39.72863636363636,,,,,,,,,,,,,,,,,,,
2010-02-25,,,1.422,,,,,,,,,,,,,,,,,,,,
2010-02-26,,,2.5469999999999997,29.037499999999998,,,,,,,,,,,,,,,,,,,
2010-02-27,,,10.044583333333334,30.366666666666664,,,,,,,,,,,,,,,,,,,
2010-02-28,,,7.0249999999999995,29.88208333333333,,,,,,,,,,,,,,,,,,,
2010-03-01,,,7.945,30.2975,,,,,,,,,,,,,,,,,,,
2010-03-02,,,14.305416666666666,44.64291666666667,,,,,,,,,,,,,,,,,,,
2010-03-03,,,16.789583333333333,58.50791666666667,,,,,,,,,,,,,,,,,,,
2010-03-04,,,15.15375,54.54666666666666,,,,,,,,,,,,,,,,,,,
2010-03-05,,,7.090416666666667,45.96791666666667,,,,,,,,,,,,,,,,,,,
2010-03-06,,,5.153333333333333,34.03875,,,,,,,,,,,,,,,,,,,
2010-03-07,,,3.6704166666666667,28.180833333333336,,,,,,,,,,,,,,,,,,,
2010-03-08,,,5.077083333333333,29.795416666666668,,,,,,,,,,,,,,,,,,,
2010-03-09,,,7.2058333333333335,34.194583333333334,,,,,,,,,,,,,,,,,,,
2010-03-10,,,8.895833333333334,27.642083333333332,,,,,,,,,,,,,,,,,,,
2010-03-11,,,13.398333333333333,27.826666666666668,,,,,,,,,,,,,,,,,,,
2010-03-12,,,4.35875,17.911666666666665,,,,,,,,,,,,,,,,,,,
2010-03-13,,,7.4725,32.59291666666667,,,,,,,,,,,,,,,,,,,
2010-03-14,,,4.892916666666666,30.199583333333333,,,,,,,,,,,,,,,,,,,
2010-03-15,,,8.684583333333334,43.77041666666667,,,,,,,,,,,,,,,,,,,
2010-03-16,,,7.00125,33.98291666666667,,,,,,,,,,,,,,,,,,,
2010-03-17,,,7.423333333333333,29.244583333333335,,,,,,,,,,,,,,,,,,,
2010-03-18,,,10.016666666666667,26.587083333333336,,,,,,,,,,,,,,,,,,,
2010-03-19,,,6.80125,32.27,,,,,,,,,,,,,,,,,,,
2010-03-20,,,7.43875,38.185833333333335,,,,,,,,,,,,,,,,,,,
2010-03-21,,,13.570416666666667,41.50291666666667,,,,,,,,,,,,,,,,,,,
2010-03-22,,,7.51125,44.649166666666666,,,,,,,,,,,,,,,,,,,
2010-03-23,,,8.497916666666667,43.032916666666665,,,,,,,,,,,,,,,,,,,
2010-03-24,,,6.915833333333334,45.657916666666665,,,,,,,,,,,,,,,,,,,
2010-03-25,,,6.7508333333333335,60.632083333333334,,,,,,,,,,,,,,,,,,,
2010-03-26,,,13.275833333333333,53.919999999999995,,,,,,,,,,,,,,,,,,,
2010-03-27,,,9.87,30.410833333333333,,,,,,,,,,,,,,,,,,,
2010-03-28,,,6.2625,22.871666666666666,,,,,,,,,,,,,,,,,,,
2010-03-29,,,8.389999999999999,25.60875,,,,,,,,,,,,,,,,,,,
2010-03-30,,,7.637083333333333,33.946666666666665,,,,,,,,,,,,,,,,,,,
2010-03-31,,,7.0754166666666665,32.79416666666666,,,,,,,,,,,,,,,,,,,
2010-04-01,,,4.64875,24.44333333333333,,,,,,,,,,,,,,,,,,,
2010-04-02,,,3.828333333333333,17.205416666666668,,,,,,,,,,,,,,,,,,,
