From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2010-01-01,,,,,,,2.1979166666666665,0.0175,15.769166666666665,,,,,,29.324166666666667,83.1375,0.58875,200.05499999999998,179.77458333333334,1007.5095833333334,0.6854166666666667
2010-01-02,,,,,,,1.9970833333333333,0.035833333333333335,23.225416666666664,,,,,,29.58666666666667,80.54708333333333,0.5958333333333333,174.50708333333333,159.775,1008.7979166666668,0.6866666666666666
2010-01-03,,,,,,,3.10375,0.01375,33.816250000000004,,,,,,29.309583333333332,75.33541666666666,0.5924999999999999,138.01208333333332,115.57875,1008.8779166666667,0.6875
2010-01-04,,,,,,,2.890416666666667,0.09416666666666668,14.519166666666665,,0.52,,,,28.20625,79.66833333333334,0.5750000000000001,226.12333333333333,151.38708333333332,1007.42375,0.6841666666666667
2010-01-05,,,,,,,2.686666666666667,0.4870833333333333,11.15375,,0.52,,,,27.659166666666668,84.90083333333332,0.56625,261.56,62.69291666666667,1006.3429166666666,0.6833333333333332
2010-01-06,,,,,,,2.17875,0.01,18.8525,,,,,,29.02416666666667,80.22208333333333,0.6008333333333333,207.6654166666667,185.67458333333332,1006.0308333333332,0.6862499999999999
2010-01-07,,,,,,,1.81375,0.01,38.979166666666664,,,,,,29.9025,75.03958333333334,0.6283333333333333,134.45666666666668,175.88625000000002,1006.7779166666666,0.6891666666666666
2010-01-08,,,,,,,2.4116666666666666,0.01,24.405416666666667,2.99,0.44,,4.97,,28.44333333333333,88.61125,0.6258333333333334,225.85875,32.547916666666666,1007.1133333333333,0.69
2010-01-09,,,,,,,2.0533333333333332,0.01,16.8675,,0.5599999999999999,,4.586,0.55,28.88625,88.95916666666666,0.6279166666666667,234.55541666666667,91.8625,1006.80375,0.6895833333333332
2010-01-10,,,,,,,2.3325,0.01,10.625416666666666,,0.39,,,,29.53375,86.1725,0.6029166666666667,198.78458333333333,165.48083333333332,1007.8783333333334,0.6875
2010-01-11,,,,,,,2.1891666666666665,0.03916666666666667,3.1925000000000003,2.5566666666666666,,,,,30.166666666666668,87.71833333333332,0.5758333333333333,157.90541666666667,217.23625,1008.8533333333334,0.68375
2010-01-12,,,,,,,1.6587500000000002,0.01,4.0675,,,,,,30.273750000000003,86.72250000000001,0.5729166666666666,175.97125000000003,224.83624999999998,1009.2716666666666,0.68375
2010-01-13,,,,,,,1.8558333333333332,0.01,5.7491666666666665,5.6579999999999995,,,0.45,,30.623333333333335,84.49625,0.58875,178.76041666666666,221.0533333333333,1009.7041666666668,0.6858333333333334
2010-01-14,,,,,,,2.089166666666667,0.01,9.740833333333333,3.9475,,,,,30.317916666666665,84.33375,0.5758333333333333,163.88541666666666,208.4325,1010.6483333333334,0.685
2010-01-15,,,,,,,2.83,0.01,32.79333333333333,,,,,,29.676666666666666,76.93916666666667,0.5929166666666666,119.84541666666667,141.7275,1011.8145833333333,0.6866666666666666
2010-01-16,,,,,,,3.8837500000000005,0.01,20.702916666666667,,,,,,29.41,76.67916666666666,0.6045833333333334,159.16583333333332,214.39625,1012.9004166666667,0.6870833333333333
2010-01-17,,,,,,,3.8578260869565217,0.01,15.202083333333334,,,,,,29.182083333333335,81.94708333333334,0.5816666666666667,187.53166666666667,185.77625,1012.6533333333333,0.6841666666666667
2010-01-18,,,,,,,3.5549999999999997,0.03125,16.994583333333335,3.598333333333333,,,,,29.432083333333335,83.58125,0.5729166666666666,205.33166666666668,182.79791666666665,1011.6275,0.6841666666666667
2010-01-19,,,,,,,2.921666666666667,0.01,25.639583333333334,4.023333333333333,,,,,29.262083333333333,80.30041666666666,0.5841666666666666,167.74708333333334,188.23625,1009.7854166666666,0.6841666666666667
2010-01-20,,,,,,,2.30375,0.01,21.46083333333333,4.3533333333333335,,,,,28.829583333333332,76.19125,0.5866666666666667,182.02874999999997,207.09083333333334,1010.63375,0.685
2010-01-21,,,,,,,3.2675,0.0325,24.3175,3.854,0.77,,6.716666666666666,,28.436666666666667,67.72208333333333,0.6025,191.3475,210.60416666666666,1010.1225,0.6862499999999999
2010-01-22,,,,,,,3.5574999999999997,0.01,14.207500000000001,3.5585714285714287,0.745,,,,28.209166666666665,69.47791666666667,0.6020833333333333,236.62791666666666,161.5275,1009.6966666666667,0.6879166666666666
2010-01-23,,,,,,,3.098333333333333,0.01,21.52291666666667,,,,,,28.365416666666665,72.08708333333333,0.6054166666666666,227.11833333333334,164.31625,1009.5137500000001,0.6875
2010-01-24,,,,,,,3.1787500000000004,0.045000000000000005,21.32875,,,,,,28.719166666666666,77.085,0.5941666666666666,198.69916666666666,198.40166666666667,1008.6029166666667,0.6879166666666666
2010-01-25,,,,,,,3.5829166666666663,0.01,23.52416666666667,,,,,,29.02541666666667,75.50583333333334,0.5966666666666667,152.33583333333334,206.63125,1008.775,0.6862499999999999
2010-01-26,,,,,,,1.13125,0.01,19.953333333333333,,,,,,29.5175,77.45125,0.6041666666666666,162.42541666666668,219.62,1009.4570833333333,0.6879166666666666
2010-01-27,,,,,,,1.9000000000000001,0.01,15.345,3.87,,,,,29.254583333333333,85.05708333333332,0.5945833333333334,148.48583333333332,126.54124999999999,1009.4879166666666,0.6879166666666666
2010-01-28,,,,,,,2.2245833333333334,0.01,20.93875,,,,,,29.33375,81.06041666666667,0.58625,158.74583333333334,174.38125,1009.9229166666668,0.6858333333333334
2010-01-29,,,,,,,1.5821739130434782,0.15791666666666668,30.119583333333335,,,,,,29.07875,79.39625,0.5829166666666666,169.32583333333335,204.48541666666665,1009.9733333333334,0.6845833333333333
2010-01-30,,,,,,,3.5383333333333336,0.01,29.54125,,,,,,28.745,79.44375000000001,0.5870833333333333,202.56166666666664,206.62625,1009.8533333333334,0.685
2010-01-31,,,6.0675,87.59,37.980000000000004,,2.18625,0.1758333333333333,15.797916666666666,9.493333333333334,0.68,12.85125,18.781111111111112,3.96625,28.441666666666666,79.05541666666666,0.5716666666666667,181.53708333333336,103.83791666666667,1010.3516666666666,0.6841666666666667
2010-02-01,,,35.7725,103.70833333333333,139.48125000000002,,6.577916666666667,0.16272727272727272,20.652083333333334,6.309523809523809,2.26875,4.995384615384615,8.113750000000001,5.904736842105263,28.46291666666667,76.1225,0.5791666666666667,151.27083333333334,176.89833333333334,1009.9116666666667,0.68375
2010-02-02,,,21.039583333333333,63.22291666666666,84.26208333333334,,2.5716666666666668,0.050833333333333335,22.024583333333336,6.566842105263158,1.7404166666666667,7.0,10.317083333333333,5.6877272727272725,28.64833333333333,76.12291666666667,0.5858333333333333,202.5354166666667,208.50041666666667,1009.24375,0.6841666666666667
2010-02-03,,,27.24875,55.71416666666667,82.86083333333333,,1.2095833333333335,0.2025,24.105,8.067916666666667,2.46,4.036086956521739,14.184166666666668,7.497083333333333,28.405416666666667,76.35541666666667,0.57875,213.895,199.53833333333333,1008.7033333333334,0.6841666666666667
2010-02-04,,,44.32208333333333,88.47958333333334,132.80166666666665,,1.5066666666666666,0.055,11.92125,8.456249999999999,1.9004166666666666,3.867391304347826,12.23625,7.362916666666667,28.999583333333334,72.23458333333333,0.5833333333333334,168.89208333333332,217.29541666666668,1009.2191666666666,0.6854166666666667
2010-02-05,,,15.019166666666665,48.89625,63.915416666666665,,1.3066666666666666,0.11916666666666668,19.235833333333332,8.756470588235294,1.2591666666666665,6.1207692307692305,12.664347826086955,8.202631578947368,28.894166666666667,75.9075,0.5833333333333334,191.55958333333334,197.24291666666667,1009.7666666666668,0.6845833333333333
2010-02-06,,,18.78625,45.62916666666666,64.41291666666667,,1.2970833333333334,0.08875,20.935,7.521764705882354,1.31625,4.9125,10.203478260869565,4.534761904761905,28.9425,79.97541666666667,0.5816666666666667,202.61333333333334,192.2775,1010.2487500000001,0.6841666666666667
